antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
rich,place name sign,0.5,0.05,0.05,0.1,2.0,0.025,1.0555555555555556
rich,OpenStreetMap zoom level,0.5,0.05,0.05,0.1,2.0,0.025,1.0555555555555556
rich,visitor center,0.5,0.025,0.025,0.05,2.0,0.0125,1.0263157894736843
rich,has boundary,0.5,0.025,0.025,0.05,2.0,0.0125,1.0263157894736843
rich,WordLift URL,0.5,0.075,0.075,0.15,2.0,0.0375,1.0882352941176472
rich,photosphere image,0.5,0.025,0.025,0.05,2.0,0.0125,1.0263157894736843
rich,railway traffic side,0.5,0.45,0.45,0.9,2.0,0.225,5.500000000000002
rich,bibliography,0.5,0.025,0.025,0.05,2.0,0.0125,1.0263157894736843
rich,Mastodon instance URL,0.5,0.1,0.1,0.2,2.0,0.05,1.125
rich,studied by,0.5,0.25,0.25,0.5,2.0,0.125,1.5
rich,topographic map,0.5,0.025,0.025,0.05,2.0,0.0125,1.0263157894736843
rich,shape,0.5,0.025,0.025,0.05,2.0,0.0125,1.0263157894736843
rich,location,0.5,0.025,0.025,0.05,2.0,0.0125,1.0263157894736843
rich,number of deaths,0.5,0.05,0.05,0.1,2.0,0.025,1.0555555555555556
rich,bathymetry image,0.5,0.025,0.025,0.05,2.0,0.0125,1.0263157894736843
rich,width,0.5,0.025,0.025,0.05,2.0,0.0125,1.0263157894736843
rich,time of earliest written record,0.5,0.025,0.025,0.05,2.0,0.0125,1.0263157894736843
rich,has facility,0.5,0.025,0.025,0.05,2.0,0.0125,1.0263157894736843
rich,official symbol,0.5,0.175,0.175,0.35,2.0,0.0875,1.2692307692307692
rich,OpenStreetMap tag or key,0.5,0.025,0.025,0.05,2.0,0.0125,1.0263157894736843
rich,illiterate population,0.5,0.025,0.025,0.05,2.0,0.0125,1.0263157894736843
rich,partially coincident with,0.5,0.025,0.025,0.05,2.0,0.0125,1.0263157894736843
rich,present in work,0.5,0.025,0.025,0.05,2.0,0.0125,1.0263157894736843
